module_id,canonical_module_name,legacy_names,module_summary,current_surfaces,current_routes,navigation_reachability,implementation_status,disposition,disposition_rationale,owning_gate,accountable_owner,primary_metric,metric_definition,current_evidence,dependencies,route_strategy,flag_strategy,reentry_condition,follow_up_packet,migration_risk,compatibility_risk,rollback_approach,source_reference,open_questions
AX-011,Mission authoring,Add Task | AI-generated Task | Pro…,Create a Mission | AI-generated…,Create a Mission | AI-generated…,add_mission | add_mission/{skillId},SECONDARY_ROUTE | SKILL_DEE…,IMPLEMENTED,IMPROVE,SRC=Simplify Now;NORM=IMPROVE,G3,sajadalireza|W4,mission_authoring_completion_rate,Percent of authoring starts producing a valid…,Tested | app/presentation/missions/AddMissionSc…,CreateMission | ROIEngine | System Voice…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:Future G3 Mission-authoring packet,Future G3 Mission-authoring packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-011|REG|LIVE,Current authoring exposes a four-stag…
AX-012,Mission execution and focus,Focus Session | Instant Gate,Mission detail | focus timer |…,Mission detail | focus timer |…,mission_detail/{id},DEEP_DETAIL_ROUTE,IMPLEMENTED,IMPROVE,SRC=Improve Now;NORM=IMPROVE,G2 | G3,sajadalireza|W4,atomic_mission_completion_integrity_rate,Percent of completion attempts producing exac…,Observed | app/presentation/missions/MissionDet…,CompleteMission | FocusTimerService | not…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-205 | Future G3 Mission-execution…,WP-205 | Future G3 Mission-execution packet,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-012|REG|LIVE,No automated First-Win idempotency or…
AX-013,Dungeons,Dungeon | Sprint,Multi-stage Projects | detail |…,Multi-stage Projects | detail |…,dungeons | dungeon_detail/{id} | create_dungeon,SECONDARY_ROUTE_UNDER_MISSI…,IMPLEMENTED,HIDE,SRC=Hide / Unlock Later;NORM=HIDE,G7,sajadalireza|W7,ordinary_user_exposure_rate,Percent of ordinary users reaching Dungeon/Pr…,Observed | app/presentation/dungeon/DungeonsScr…,DungeonRepo | MissionRepo | focus | progr…,RS_HIDE_DEFAULT_OFF_KEEP_ALIAS,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+UX+EXPOSURE0+ROLLBACK,WP-208 | Future G7 Project compatibility packet,HIGH,HIGH,RB_DISABLE_HIDE_RESTORE_NAV,MPB:AX-013|REG|LIVE,WP-002 classifies Dungeon as a legacy…
AX-014,Physical Body Map,,Interactive body atlas | muscle…,Interactive body atlas | muscle…,body_map,PRIMARY_TAB,IMPLEMENTED,FREEZE,SRC=Freeze / Health Pack;NORM=FREEZE,G7,sajadalireza|W7,ordinary_user_exposure_rate,Percent of ordinary users reaching Body Map o…,Tested | app/presentation/bodymap/BodyMapScreen…,MuscleGroupRepository | VitalsRepo | bitm…,RS_FREEZE_STABLE,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+SECURITY+METRIC+ROLLBACK,WP-208 | Future G7 Health Pack validation packet,HIGH,MEDIUM,RB_DISABLE_STAGE_RETAIN_DATA,MPB:AX-014|REG|LIVE,Most existing UI and instrumented tes…
AX-015,Vitals and daily check-in,Daily habits,Water | sleep | energy | hygien…,Water | sleep | energy | hygien…,daily_checkin,SECONDARY_ROUTE_UNDER_PHYSI…,IMPLEMENTED,VALIDATE,SRC=Freeze / Validate;NORM=VALIDATE,G7,sajadalireza|W7,validated_checkin_value_rate,Percent of validation participants reporting…,Observed | app/presentation/habits/DailyCheckin…,VitalsRepo | HabitRepo | burnout monitor…,RS_VALIDATE_COHORT_ONLY,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,COHORT+METRIC+KILL+PO,WP-208 | Future G7 Health Pack validation packet,HIGH,MEDIUM,RB_END_COHORT_RESTORE_SURFACE,MPB:AX-015|REG|LIVE,Journey behavior and health-claim bou…
AX-016,Skill tree,,Skill graph | details | Mission…,Skill graph | details | Mission…,skill_tree | add_mission/{skillId},SECONDARY_ROUTE_UNDER_PROFI…,IMPLEMENTED,HIDE,SRC=Hide / Unlock Later;NORM=HIDE,G7,sajadalireza|W6,ordinary_user_exposure_rate,Percent of ordinary users reaching Skill Tree…,Observed | app/presentation/skilltree/SkillTree…,SkillRepo | Mission authoring | XP engine,RS_HIDE_DEFAULT_OFF_KEEP_ALIAS,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+UX+EXPOSURE0+ROLLBACK,WP-208 | Future G7 Capability visualization packet,MEDIUM,MEDIUM,RB_DISABLE_HIDE_RESTORE_NAV,MPB:AX-016|REG|LIVE,Capability visualization is implement…
AX-017,Shadows,Shadows | Shadow Army,Earned shadow collection | aris…,Earned shadow collection | aris…,shadow_army,PRIMARY_TAB,IMPLEMENTED,VALIDATE,SRC=Validate First;NORM=VALIDATE,G7,sajadalireza|W6,obstacle_model_validation_rate,Percent of validation participants who use Sh…,Observed | app/presentation/shadow/ShadowArmySc…,ShadowRepo | AriseShadowUseCase | SkillRe…,RS_VALIDATE_COHORT_ONLY,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,COHORT+METRIC+KILL+PO,WP-208 | Future G7 obstacle-model validation packet,MEDIUM,MEDIUM,RB_END_COHORT_RESTORE_SURFACE,MPB:AX-017|REG|LIVE,Primary tab remains reachable; eviden…
AX-018,Leagues,League,Ranks | rivals | league points,Ranks | rivals | league points,leagues,SECONDARY_ROUTE_UNDER_SHADO…,IMPLEMENTED,FREEZE,SRC=Freeze Post-G7;NORM=FREEZE,G7,sajadalireza|W6,ordinary_user_exposure_rate,Percent of ordinary users reaching Leagues be…,Observed | app/presentation/leagues/LeaguesScre…,LeagueRepo | activation | network | Supab…,RS_FREEZE_STABLE,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+SECURITY+METRIC+ROLLBACK,WP-208 | Future G7 opt-in social validation packet,HIGH,HIGH,RB_DISABLE_STAGE_RETAIN_DATA,MPB:AX-018|REG|LIVE,Remote behavior is unknown because Su…
AX-019,Hunter profile,Hunter | Character Stats,Minimal identity | progress | s…,Minimal identity | progress | s…,profile | character_stats,PRIMARY_TAB | SECONDARY_CHA…,IMPLEMENTED,IMPROVE,SRC=Keep + Simplify;NORM=IMPROVE,G2 | G3,sajadalireza|W1,minimal_profile_completion_rate,Percent of users completing only the profile…,Observed | app/presentation/profile/ProfileScre…,HunterRepo | ProfileRepo | progression |…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-202 | Future G3 minimal-profile pa…,WP-202 | Future G3 minimal-profile packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-019|REG|LIVE,Profile currently links several froze…
AX-020,Activation and account upgrade,Activation,Anonymous-to-account upgrade |…,Anonymous-to-account upgrade |…,activation,OPTIONAL_ROUTE_FROM_PROFILE,IMPLEMENTED,FREEZE,SRC=Freeze;NORM=FREEZE,G6,sajadalireza|W9,mandatory_path_exposure_rate,Percent of users forced through account activ…,Observed | app/presentation/activation/Activati…,ActivationRepo | Supabase | Google client…,RS_FREEZE_STABLE,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+SECURITY+METRIC+ROLLBACK,WP-208 | Future G6 account-upgrade packet,HIGH,HIGH,RB_DISABLE_STAGE_RETAIN_DATA,MPB:AX-020|REG|LIVE,Optional from Profile; remote correct…
AX-021,Weekly review,,Review outcomes | wins | misses…,Review outcomes | wins | misses…,weekly_review,SECONDARY_ROUTE_UNDER_PROFI…,IMPLEMENTED,UNLOCK_LATER,SRC=Improve Later;NORM=UNLOCK_LATER,G5,sajadalireza|W5,weekly_review_completion_rate,Percent of eligible retained users completing…,Observed | app/presentation/review/WeeklyReview…,WeeklyReviewDao | repositories | shell/mo…,RS_DEFER_KEEP_COMPAT,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+DATA+METRIC+ROLLBACK,Future G5 weekly-review packet,MEDIUM,MEDIUM,RB_DISABLE_UNLOCK_RESTORE_NAV,MPB:AX-021|REG|LIVE,Retention value should not expand bef…
AX-022,Weekly analytics,Weekly Analytics,Weekly charts | overdue review…,Weekly charts | overdue review…,weekly_analytics,SECONDARY_ROUTE_UNDER_PROFI…,IMPLEMENTED,UNLOCK_LATER,SRC=Rebuild on Events;NORM=UNLOCK_L…,G4 | G5,sajadalireza|W5,weekly_analytics_actionability_rate,Percent of weekly analytics views leading to…,Observed | app/presentation/analytics/WeeklyAna…,Mission history | streak | weekly review…,RS_DEFER_KEEP_COMPAT,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+DATA+METRIC+ROLLBACK,Future G4 event-projection packet | Future G5 weekl…,MEDIUM,MEDIUM,RB_DISABLE_UNLOCK_RESTORE_NAV,MPB:AX-022|REG|LIVE,Current projections precede typed eve…
AX-023,Financial checkpoint,Financial Checkpoint,Monthly target | actual income…,Monthly target | actual income…,financial_checkpoint,SECONDARY_ROUTE_FROM_PROFILE,IMPLEMENTED,VALIDATE,SRC=Freeze / Validate Post-G6;NORM=…,G6,sajadalireza|W7,financial_checkpoint_validation_rate,Percent of validation participants finding tr…,Observed | app/presentation/financial/Financial…,Financial use cases | Room | AX-046,RS_VALIDATE_COHORT_ONLY,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,COHORT+METRIC+KILL+PO,WP-208 | Future G6 financial-tracking validation pa…,MEDIUM,MEDIUM,RB_END_COHORT_RESTORE_SURFACE,MPB:AX-023|REG|LIVE,Persistence and route exist; no advic…
AX-024,Decision filter,Decision Filter,Structured decision evaluation,Structured decision evaluation,decision_filter,SECONDARY_ROUTE_UNDER_PROFI…,IMPLEMENTED,HIDE,SRC=Hide / Could;NORM=HIDE,G7,sajadalireza|W7,ordinary_user_exposure_rate,Percent of ordinary users reaching Decision F…,Observed | app/presentation/decisionfilter/Deci…,MainScreen modal routing | shared theme,RS_HIDE_DEFAULT_OFF_KEEP_ALIAS,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+UX+EXPOSURE0+ROLLBACK,WP-208 | Future G7 decision-tool validation packet,MEDIUM,MEDIUM,RB_DISABLE_HIDE_RESTORE_NAV,MPB:AX-024|REG|LIVE,Persistence and outcome measurement a…
AX-025,System Voice AI,System Voice | AI Chat,AI briefing | chat | persona |…,AI briefing | chat | persona |…,system_voice,SECONDARY_ROUTE_UNDER_PROFI…,IMPLEMENTED,IMPROVE,SRC=Restrict + Refactor;NORM=IMPROVE,G1 | G5,sajadalireza|W7,safe_ai_suggestion_acceptance_rate,Percent of privacy-safe contextual AI suggest…,Observed | app/presentation/systemvoice/SystemV…,GeminiSDK | Hunter context | analytics |…,RS_ACTIVE_PRESERVE,FS_AI_KILL_PLUS_SERVER_BOUNDARY,ONLY:WP-104 | WP-106 | Future G5 contextua…,WP-104 | WP-106 | Future G5 contextual-Xion packet,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-025|REG|LIVE,Direct client boundary and key handli…
AX-026,Premium and entitlements,,Plans | waitlist | locked capab…,Plans | waitlist | locked capab…,premium,SECONDARY_ROUTE_UNDER_PROFI…,IMPLEMENTED,FREEZE,SRC=Freeze UI -> Build Later;NORM=F…,G6,sajadalireza|W9,paywall_exposure_before_value_rate,Percent of users shown purchase pressure befo…,Observed | app/core/FeatureFlags.kt:7,FeatureFlags | analytics | future billing…,RS_FREEZE_STABLE,FS_KEEP_PREMIUM_PURCHASE_FALSE,GATE+SECURITY+METRIC+ROLLBACK,WP-208 | Future G6 entitlement and billing packet,MEDIUM,MEDIUM,RB_DISABLE_STAGE_RETAIN_DATA,MPB:AX-026|REG|LIVE,PREMIUM_PURCHASE_ENABLED is false; no…
AX-027,Xion companion,Xion,Avatar | mood | nudges | chat |…,Avatar | mood | nudges | chat |…,cross-route,CROSS_ROUTE_OVERLAY_AND_WID…,IMPLEMENTED,KEEP,SRC=Keep + Integrate;NORM=KEEP,G2 | G3 | G4 | G5,sajadalireza|W3,xion_contextual_acceptance_rate,"Percent of Xion contextual nudges accepted, e…",Observed | app/ui/MainScreen.kt:283,Motion | System Voice | navigation | soun…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-207 | Future G3 Xion integration p…,WP-207 | Future G3 Xion integration packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-027|REG|LIVE,Recognizable AXIOM identity element;…
AX-028,Reward ceremonies,,Mission | level | rank | Dungeo…,Mission | level | rank | Dungeo…,overlay | cross-route,GLOBAL_OVERLAY,IMPLEMENTED,KEEP,SRC=Keep + Simplify;NORM=KEEP,G2,sajadalireza|W6,non_blocking_reward_completion_rate,Percent of reward ceremonies completed or ski…,Observed | app/presentation/ceremony/CeremonyHo…,CeremonyHost | sound | motion | navigatio…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-207 | Future G3 reward-feedback pa…,WP-207 | Future G3 reward-feedback packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-028|REG|LIVE,Global overlays can block flow unless…
AX-029,"XP, rank, ROI and recovery engines",XP | Rank | ROI | Recovery,XP | levels | ranks | Mission r…,XP | levels | ranks | Mission r…,cross-route | character_stats,CROSS_ROUTE | CHARACTER_STA…,IMPLEMENTED,IMPROVE,SRC=Redesign Now;NORM=IMPROVE,G3,sajadalireza|W6,progression_duplicate_ledger_rate,Duplicate or contradictory progression ledger…,Tested | app/domain/engine/XPEngine.kt:1,Mission completion | profile | ceremonies…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-205 | Future G3 progression-ledger…,WP-205 | Future G3 progression-ledger packet,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-029|REG|LIVE,Cross-system progression invariants a…
AX-030,Streak and weekly challenge,Streak | Weekly Challenge,Daily streak | freeze/shield |…,Daily streak | freeze/shield |…,cross-route,CROSS_ROUTE_WIDGETS_AND_STA…,IMPLEMENTED,UNLOCK_LATER,SRC=Improve Later;NORM=UNLOCK_LATER,G5,sajadalireza|W5,streak_recovery_rate,Percent of eligible broken streaks recovered…,Observed | app/domain/usecase/CheckStreakOnOpen…,StreakRepository | Prefs | notifications…,RS_DEFER_KEEP_COMPAT,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+DATA+METRIC+ROLLBACK,Future G5 flexible-streak packet,MEDIUM,MEDIUM,RB_DISABLE_UNLOCK_RESTORE_NAV,MPB:AX-030|REG|LIVE,Cross-store ownership and transaction…
AX-031,Feature flags and unlocks,Unlocks | local flags,AI | offline | premium gating |…,AI | offline | premium gating |…,cross-route,CROSS_ROUTE_CONTROL,THREE_LOCAL_FLAGS;_NO_EXPER…,IMPROVE,SRC=Expand Now;NORM=IMPROVE,G1 | G2,sajadalireza|W8,assignment_consistency_rate,Percent of sessions retaining the same eligib…,Observed | app/core/FeatureFlags.kt:3,Navigation | premium | AI | progression |…,RS_ACTIVE_PRESERVE,FS_BUILD_CONTROL_PLANE_WP208,ONLY:WP-208 | WP-106,WP-208 | WP-106,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-031|REG|LIVE,"No sticky First-Win assignment, eligi…"
AX-032,Sharing and referral,,Rank sharing | export,Rank sharing | export,system share intent,SYSTEM_SHARE_INTENT,UNKNOWN,FREEZE,SRC=Freeze;NORM=FREEZE,G7,sajadalireza|W9,ordinary_user_exposure_rate,Percent of ordinary users exposed to sharing/…,Observed | app/ui/ShareViewModel.kt:30,Android share APIs | profile | progressio…,RS_FREEZE_STABLE,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+SECURITY+METRIC+ROLLBACK,WP-208 | Future G7 privacy-safe sharing packet,MEDIUM,MEDIUM,RB_DISABLE_STAGE_RETAIN_DATA,MPB:AX-032|REG|LIVE,No referral identity or funnel event…
AX-033,Notifications and reminders,,Streak reminders | focus servic…,Streak reminders | focus servic…,system notification | cross-route,SYSTEM_NOTIFICATION | CROSS…,IMPLEMENTED,UNLOCK_LATER,SRC=Defer;NORM=UNLOCK_LATER,G5,sajadalireza|W5,reminder_incremental_completion_lift,Causal lift in meaningful Mission completion…,Observed | app/core/notification/StreakReminder…,WorkManager | Notifications | onboarding…,RS_DEFER_KEEP_COMPAT,FS_DEFAULT_SAFE_MODULE_FLAG_LATER,GATE+DATA+METRIC+ROLLBACK,WP-206 | Future G5 reminder-effect packet,MEDIUM,MEDIUM,RB_DISABLE_UNLOCK_RESTORE_NAV,MPB:AX-033|REG|LIVE,Permission timing and incremental ret…
AX-034,"Sound, haptics and motion",,Press | ceremony | navigation |…,Press | ceremony | navigation |…,cross-route,CROSS_ROUTE,IMPLEMENTED,IMPROVE,SRC=Keep / Standardize;NORM=IMPROVE,G3,sajadalireza|W3,sensory_accessibility_compliance_rate,Percent of representative feedback interactio…,Observed | app/core/sound/SoundEngine.kt:61,ComposeMotion | haptics | ceremony | comp…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-207 | Future G3 sensory-system pac…,WP-207 | Future G3 sensory-system packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-034|REG|LIVE,Reduced-motion and sensory accessibil…
AX-035,"Theme, typography and semantic tokens",,All Compose surfaces,All Compose surfaces,cross-route,CROSS_ROUTE,IMPLEMENTED,IMPROVE,SRC=Consolidate Now;NORM=IMPROVE,G3,sajadalireza|W3,semantic_token_coverage_rate,Percent of critical-screen visual properties…,Observed | app/ui/theme/AxiomTokens.kt:11,Material 3 | fonts | semantic color local…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-103 | Future G3 design-token packet,WP-103 | Future G3 design-token packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-035|REG|LIVE,The symbol named Inter loads outfit_v…
AX-036,Shared Compose components,,Cards | controls | HUD | empty/…,Cards | controls | HUD | empty/…,cross-route,CROSS_ROUTE,LARGE_COMPONENT_LIBRARY;_AD…,IMPROVE,SRC=Consolidate Gradually;NORM=IMPR…,G3,sajadalireza|W3,critical_screen_component_reuse_rate,Percent of approved critical-screen states im…,Observed | app/ui/components/JuicyPressable.kt:1,Theme | sound | haptics | Xion | navigati…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:Future G3 component-consolidation pac…,Future G3 component-consolidation packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-036|REG|LIVE,Component overlap and adoption consis…
AX-037,Localization and RTL,,All user-facing copy | layout d…,All user-facing copy | layout d…,cross-route,CROSS_ROUTE,ENGLISH_AND_PERSIAN_KEY_PAR…,IMPROVE,SRC=Release Gate;NORM=IMPROVE,G2 | G3,sajadalireza|W3,localization_release_gate_pass_rate,Percent of required FA/EN/RTL scenarios passi…,Observed | app/src/main/AndroidManifest.xml:19,Android resources | setup | layout direct…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-207 | Future G3 localization relea…,WP-207 | Future G3 localization release packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-037|REG|LIVE,522 keys exist in each locale but man…
AX-038,Accessibility,,Semantics | focus | labels | co…,Semantics | focus | labels | co…,cross-route,CROSS_ROUTE,PARTIAL_SOURCE_INDICATORS;_…,IMPROVE,SRC=Release Gate;NORM=IMPROVE,G2 | G3,sajadalireza|W3,accessibility_release_gate_pass_rate,"Percent of required TalkBack, focus, scale, c…",Unknown | app/presentation/bodymap/BodyMapScree…,Shared components | copy | theme | motion…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-207 | Future G3 accessibility rele…,WP-207 | Future G3 accessibility release packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-038|REG|LIVE,"TalkBack, font scaling, contrast, swi…"
AX-039,Room persistence and migrations,,Local durable product data,Local durable product data,database | cross-route,DATA_LAYER | CROSS_ROUTE,IMPLEMENTED,IMPROVE,SRC=Critical Improve;NORM=IMPROVE,G2,sajadalireza|W8,migration_integrity_rate,Percent of supported schema upgrade paths com…,Observed | app/data/local/AxiomDatabase.kt:9,24 Room entities | 13 DAOs | repositories…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-204 | WP-205,WP-204 | WP-205,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-039|REG|LIVE,Migration source files exist in two p…
